"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\config\config.php", "PHP", 0, -8, 0, 0, 0, -4, -4, -16
"c:\xampp\htdocs\routeready\app\controllers\Admins.php", "PHP", 0, -389, 0, 0, 0, -59, -132, -580
"c:\xampp\htdocs\routeready\app\controllers\Drivers.php", "PHP", 0, -436, 0, 0, 0, -89, -72, -597
"c:\xampp\htdocs\routeready\app\controllers\Employees.php", "PHP", 0, -463, 0, 0, 0, -96, -130, -689
"c:\xampp\htdocs\routeready\app\controllers\Hrmanagers.php", "PHP", 0, -321, 0, 0, 0, -43, -40, -404
"c:\xampp\htdocs\routeready\app\controllers\Pages.php", "PHP", 0, -150, 0, 0, 0, -4, -17, -171
"c:\xampp\htdocs\routeready\app\controllers\Posts.php", "PHP", 0, -134, 0, 0, 0, -27, -45, -206
"c:\xampp\htdocs\routeready\app\controllers\Reports.php", "PHP", 0, 0, 0, 0, 0, 0, -1, -1
"c:\xampp\htdocs\routeready\app\controllers\ReservationPayment.php", "PHP", 0, -27, 0, 0, 0, -5, -9, -41
"c:\xampp\htdocs\routeready\app\controllers\Users.php", "PHP", 0, -325, 0, 0, 0, -53, -73, -451
"c:\xampp\htdocs\routeready\app\helpers\session_helper.php", "PHP", 0, -28, 0, 0, 0, -3, -9, -40
"c:\xampp\htdocs\routeready\app\helpers\url_helper.php", "PHP", 0, -4, 0, 0, 0, -1, -1, -6
"c:\xampp\htdocs\routeready\app\init.php", "PHP", 0, -7, 0, 0, 0, -7, -4, -18
"c:\xampp\htdocs\routeready\app\libraries\Controller.php", "PHP", 0, -14, 0, 0, 0, -8, -3, -25
"c:\xampp\htdocs\routeready\app\libraries\Core.php", "PHP", 0, -33, 0, 0, 0, -16, -10, -59
"c:\xampp\htdocs\routeready\app\libraries\Database.php", "PHP", 0, -58, 0, 0, 0, -8, -13, -79
"c:\xampp\htdocs\routeready\app\libraries\Mail.php", "PHP", 0, -37, 0, 0, 0, 0, -1, -38
"c:\xampp\htdocs\routeready\app\libraries\mail\README.md", "Markdown", 0, 0, 0, 0, -168, 0, -1, -169
